SITE,STATION,USE,CAUSE,11-DIG HUC,BASIN,priority
STONO RVR AT SC 700,MD-026,AL,CU,03050202070,SANTEE,2
GOOSE CK AT S-08-136 BRIDGE,MD-039,REC,FC,03050201070,SANTEE,2
COOPER RVR AB MOUTH OF SHIPYD CK AT CHANNEL BUOY 49,MD-045,REC,FC,03050201050,SANTEE,3
TOWN CK (W SIDE OF DRUM ISL) UNDER GRACE MEMORIAL BRDG,MD-047,REC,FC,03050201050,SANTEE,3
ASHLEY RVR AT MAGNOLIA GARDENS,MD-049,AL,DO,03050202040,SANTEE,2
ASHLEY RVR AT MAGNOLIA GARDENS,MD-049,REC,FC,03050202040,SANTEE,3
ASHLEY RVR AT SALRR BRDG,MD-052,REC,FC,03050202040,SANTEE,2
SHEM CK AT BRDG ON US 17,MD-071,REC,FC,03050202070,SANTEE,2
TURKEY CK S-22-42 SW OF GEORGETOWN,MD-076N,REC,FC,03040207040,PEE DEE,2
WINYAH BAY AT JCT OF PEE DEE & WACCAMAW AT MARKER 92,MD-080,AL,ZN,03040207050,PEE DEE,2
,MD-085,AL,PH,,PEE DEE,1
,MD-085,AL,DO,,PEE DEE,1
,MD-085,REC,FC,,PEE DEE,1
,MD-087,AL,ZN,,PEE DEE,1
,MD-087,AL,PH,,PEE DEE,1
,MD-087,AL,DO,,PEE DEE,1
,MD-087,REC,FC,,PEE DEE,1
,MD-088,REC,FC,,PEE DEE,1
,MD-088,AL,PH,,PEE DEE,1
,MD-088,AL,DO,,PEE DEE,1
,MD-089,AL,PH,,PEE DEE,1
,MD-089,AL,DO,,PEE DEE,1
,MD-089,REC,FC,,PEE DEE,1
,MD-091,AL,DO,,PEE DEE,1
,MD-091,REC,FC,,PEE DEE,1
KINGSTON LK NR PUMP STA ON LAKESIDE DR CONWAY,MD-107,REC,FC,03040206120,PEE DEE,3
KINGSTON LK NR PUMP STA ON LAKESIDE DR CONWAY,MD-107,AL,DO,03040206120,PEE DEE,2
WACCAMAW RVR AT US 501 BY PASS AROUND CONWAY,MD-110,AL,DO,03040206140,PEE DEE,2
WACCAMAW RVR AT COX'S FERRY ON S-26-110,MD-111,AL,DO,03040206140,PEE DEE,2
GOOSE CK RESERVOIR AT CHTN WTR INTAKE,MD-113,AL,DO,03050201070,SANTEE,2
,MD-114,AL,PH,,SANTEE,1
,MD-114,AL,DO,,SANTEE,1
,MD-114,REC,FC,,SANTEE,1
WANDO RVR AT SC 41,MD-115,AL,CU,03050201080,SANTEE,2
NEW RVR AT SC 170 9 MI W OF BLUFFTON,MD-118,REC,FC,03050208130,SALKEHATCHIE,2
LOG BRIDGE CK AT SC 162,MD-121,REC,FC,03050202050,SANTEE,2
,MD-125,REC,FC,,SANTEE,1
,MD-125,AL,DO,,SANTEE,1
,MD-127,AL,DO,,SANTEE,1
,MD-127,AL,PH,,SANTEE,1
,MD-128,AL,DO,,SANTEE,1
,MD-128,REC,FC,,SANTEE,1
GREAT SWAMP AT U.S. 17,MD-129,REC,FC,03050208120,SALKEHATCHIE,2
ASHLEY RVR AT SC 7 (N BRDG),MD-135,AL,DO,03050202040,SANTEE,2
WACCAMAW RVR 1/4 MI UPSTRM OF JCT WITH ICWW,MD-136,AL,DO,03040206140,PEE DEE,2
WACCAMAW RVR NR MOUTH OF BULL CK AT MARKER 50,MD-137,AL,DO,03040206140,PEE DEE,2
WACCAMAW RVR & ICWW 1 MI BL JCT-AT BUCKSPORT LANDING,MD-146,AL,DO,03040206140,PEE DEE,2
,MD-158,AL,DO,,PEE DEE,1
,MD-158,REC,FC,,PEE DEE,1
,MD-162,AL,PH,,PEE DEE,1
,MD-162,REC,FC,,PEE DEE,1
"COOSAW RVR AT CONFL OF COMBAHEE RVR, NEAR BUOY 186",MD-168,AL,ZN,03050208100,SALKEHATCHIE,2
BROAD CK OPPOSITE END OF S-O7-80,MD-174,AL,DO,03050208110,SALKEHATCHIE,2
JEREMY CK NEAR BOAT LANDING AT MCCLELLANVILLE TOWN HL,MD-203,REC,FC,03050202060,SANTEE,2
BOHICKET CK MOUTH @ N EDISTO RVR,MD-210,AL,DO,03050205070,EDISTO,2
FOSTER CREEK AT CHARLESTON CPW WATER INTAKE,MD-240,REC,FC,03050201060,SANTEE,2
MECHAW CK AT SC RT 45,MD-241,REC,FC,03050112050,SANTEE,2
,MD-242,AL,DO,,SANTEE,1
,MD-242,REC,FC,,SANTEE,1
,MD-243,AL,SED,,SANTEE,1
,MD-243,AL,TIS,,SANTEE,1
CHURCH CK MOUTH,MD-246,REC,FC,03050202040,SANTEE,3
COOPER RIVER AT MARK CLARK BRIDGE (I-526),MD-248,REC,FC,03050201050,SANTEE,3
"FILBIN CREEK AT VIRGINIA AVE, NORTH CHARLESTON",MD-249,REC,FC,03050201050,SANTEE,2
AWENDAW CREEK AT US 17,MD-250,REC,FC,03050202060,SANTEE,2
TODD'S BR AT S-29-564 1.5 MI NE OF KERSHAW,PD-005,REC,FC,03040202070,PEE DEE,2
LITTLE LYNCHES RVR AT US 601 2 MI NE KERSHAW,PD-006,REC,FC,03040202070,PEE DEE,3
BLACK CK AT S-16-18 1 MI NNE HARTSVILLE,PD-021,REC,FC,03040201110,PEE DEE,2
MAPLE SWP AT SC 57,PD-030,REC,FC,03040204038,PEE DEE,2
BUCK SWP AT S-17-33,PD-031,REC,FC,03040204050,PEE DEE,3
BUCK SWP AT S-17-33,PD-031,AL,DO,03040204050,PEE DEE,2
BROWN SWP AT S-34-31,PD-037,REC,FC,03040204070,PEE DEE,3
TURKEY CREEK AT US 521,PD-040,REC,FC,03040205080,PEE DEE,2
,PD-052,AL,CU,,PEE DEE,1
,PD-052,AL,ZN,,PEE DEE,1
"GULLEY BR AT S-21-13, TIMROD PARK",PD-065,REC,FC,03040201130,PEE DEE,2
"GULLEY BR AT S-21-13, TIMROD PARK",PD-065,AL,CU,03040201130,PEE DEE,3
FORK CK AT SC 151,PD-067,REC,FC,03040202050,PEE DEE,2
"FORK CK AT S-13-770, 1.5 MI SW JEFFERSON",PD-068,AL,BIO,03040202050,PEE DEE,2
"FORK CK AT S-13-770, 1.5 MI SW JEFFERSON",PD-068,AL,CU,03040202050,PEE DEE,3
PEE DEE RVR AT US 378,PD-076,AL,CU,03040201140,PEE DEE,2
TURKEY CK AT LIBERTY ST IN SUMTER ,PD-098,REC,FC,03040205080,PEE DEE,2
"LITTLE LYNCHES RIVER AT SC 341, 4 MI SE KERSHAW",PD-109,REC,FC,03040202080,PEE DEE,2
COUSAR BR 1/4 MI BELOW BISHOPVILLE FINISHING CO,PD-112,REC,FC,03040202090,PEE DEE,2
LYNCHES RVR AT SC 9 W OF PAGELAND,PD-113,REC,FC,03040202030,PEE DEE,3
LYNCHES RVR AT SC 9 W OF PAGELAND,PD-113,AL,CU,03040202030,PEE DEE,2
,PD-137,REC,FC,,PEE DEE,1
,PD-137,AL,PH,,PEE DEE,1
,PD-141,REC,FC,,PEE DEE,1
,PD-141,AL,DO,,PEE DEE,1
,PD-167,AL,PH,,PEE DEE,1
,PD-167,AL,DO,,PEE DEE,1
BIG SWP AT S-21-360 1.1 MI W OF PAMPLICO,PD-168,REC,FC,03040202130,PEE DEE,2
N BR WILDCAT CK AT S-29-39 1 MI S OF TRADESVILLE,PD-179,REC,FC,03040202030,PEE DEE,3
BLACK RVR AT US 76 1.5 MI NE OF MAYESVILLE,PD-186,REC,FC,03040205010,PEE DEE,2
SMITH SWP AT US 501 1.9 MI SSE OF MARION,PD-187,REC,FC,03040201150,PEE DEE,3
,PD-187,AL,DO,,PEE DEE,1
,PD-187,AL,CU,,PEE DEE,1
LITTLE FORK CK AT S-13-265 1.5 MI SW JEFFERSON,PD-215,AL,BIO,03040202050,PEE DEE,2
NEWMAN SWP AT S-16-449 0.9 MI NE OF LAMAR,PD-229,REC,FC,03040202100,PEE DEE,2
MIDDLE SWP AT SC 51 3.5 MI SSE OF FLORENCE,PD-230,REC,FC,03040201130,PEE DEE,2
,PD-239,AL,PH,,PEE DEE,1
,PD-239,AL,DO,,PEE DEE,1
THOMPSON CK AT S-13-243 0.8 MI NE OF CHESTERFIELD,PD-246,REC,FC,03040201062,PEE DEE,2
,PD-258,REC,FC,,PEE DEE,1
,PD-258,AL,PH,,PEE DEE,1
,PD-258,AL,DO,,PEE DEE,1
"PRESTWOOD LK OFF SONOVISTA CLUB DOCK, HARTSVILLE",PD-268,REC,FC,03040201110,PEE DEE,2
LYNCHES RIVER AT SC 403,PD-319,AL,CU,03040202090,PEE DEE,2
SMITH SWP AT S-34-19 1 MI E OF MARION,PD-320,REC,FC,03040201150,PEE DEE,3
HANGING ROCK CK OFF S-29-84 1.6 MI S OF KERSHAW,PD-328,REC,FC,03040202070,PEE DEE,3
HANGING ROCK CK TRIB AT S-29-13 ,PD-329,REC,FC,03040202070,PEE DEE,2
BLACK CK AT HWY 15 BYPASS,PD-330,REC,FC,03040201110,PEE DEE,2
HILLS CREEK AT S-13-105,PD-333,REC,FC,03040202020,PEE DEE,3
,PD-334,AL,CU,,PEE DEE,1
,PD-334,AL,BIO,,PEE DEE,1
,PD-334,AL,PH,,PEE DEE,1
,PD-334,AL,ZN,,PEE DEE,1
HORTON CREEK AT S-29-95,PD-335,REC,FC,03040202070,PEE DEE,3
,PD-337,AL,CR,,PEE DEE,1
,PD-337,AL,CU,,PEE DEE,1
FLAT CREEK AT S-29-123,PD-342,REC,FC,03040202040,PEE DEE,2
LITTLE LYNCHES RIVER AT S-28-42,PD-343,REC,FC,03040202070,PEE DEE,3
SCAPE ORE SWAMP AT S-31-108,PD-355,REC,FC,03040205030,PEE DEE,2
SKIPPER CK AT SC 145,PD-613,AL,BIO,03040201100,PEE DEE,2
BRIAR BRANCH AT S-43-459,PD-617,AL,BIO,03040205090,PEE DEE,2
OX SWAMP AT US 521,PD-629,AL,BIO,03040205140,PEE DEE,2
WILLOW CK AT SC 327,PD-630,AL,BIO,03040201130,PEE DEE,2
CYPRESS BRANCH AT S-21-164,PD-631,AL,BIO,03040202130,PEE DEE,2
BEAVER DAM CK AT S-31-313,PD-636,AL,BIO,03040205030,PEE DEE,2
BEAR SWAMP AT S-26-110,PD-638,AL,BIO,03040206140,PEE DEE,2
JEFFERIES CK AT S-16-13,PD-639,AL,BIO,03040201130,PEE DEE,2
N SALUDA RVR AT BRDG AB JCT WITH SALUDA RVR E OF SC 186,S-004,REC,FC,03050109010,SALUDA,3
"GEORGES CK BRANCH AT S-39-192, 2.6 MI NE EASLEY",S-005,REC,FC,03050109050,SALUDA,3
,S-018,REC,FC,,SALUDA,1
,S-018,AL,CR,,SALUDA,1
,S-022,AL,PH,,SALUDA,1
,S-022,AL,TP,,SALUDA,1
LITTLE RVR AT US 76 BUS IN LAURENS ,S-034,REC,FC,03050109160,SALUDA,2
LITTLE RVR AT SC 560,S-038,REC,FC,03050109160,SALUDA,2
BUSH RIVER AT SC 560 S OF JOANNA,S-042,REC,FC,03050109150,SALUDA,2
SCOTT CK AT SC 34 SW OF NEWBERRY,S-044,REC,FC,03050109150,SALUDA,2
BUSH RIVER AT S.C. ROUTE 34,S-046,REC,FC,03050109150,SALUDA,2
"GEORGES CK AT US 123A, EASLEY",S-063,REC,FC,03050109050,SALUDA,3
BRUSHY CK ON GREEN ST EXT ON SC 20,S-067,REC,FC,03050109100,SALUDA,2
REEDY RVR ON HWY 418 AT FORK SHOALS,S-072,REC,FC,03050109100,SALUDA,2
REEDY RVR AT UN# RD OFF US 276 .75 MI W TRAVELERS REST,S-073,REC,FC,03050109100,SALUDA,2
BIG BRUSHY CK AT S-04-52 8.3 MI N WILLIAMSTON,S-084,REC,FC,03050109060,SALUDA,3
SOUTH SALUDA RIVER AT S-23-101,S-087,REC,FC,03050109020,SALUDA,2
ROCKY CK AT S-23-453 3.5 MI SW OF SIMPSONVILLE,S-091,REC,FC,03050109100,SALUDA,2
CORONACA CK AT S-24-100,S-092,AL,DO,03050109140,SALUDA,2
NINETY SIX CK AT SC 702 5.2 MI ESE OF 96,S-093,REC,FC,03050109140,SALUDA,3
RABON CK AT S-30-54 8.8 MI NW CROSS HILL,S-096,REC,FC,03050109130,SALUDA,2
LITTLE RVR AT S-36-22 8.3 MI NW SILVERSTREET,S-099,REC,FC,03050109163,SALUDA,2
LITTLE SALUDA RVR AT S-41-39 5.2 MI NE SALUDA,S-123,REC,FC,03050109170,SALUDA,2
SALUDA RVR AT US 25 BYPASS 1.5 MI ESE WARE SHOALS,S-125,AL,PEST,03050109080,SALUDA,2
NORTH CK AT JCT WITH US 76 2.8 MI W OF CLINTON,S-135,REC,FC,03050109160,SALUDA,2
SALUDA RVR AT MEPCO ELECT. PLANT WATER INTAKE SSE IRMO,S-149,AL,DO,03050109210,SALUDA,2
LORICK BR AT PT UPSTRM OF JCT WITH SALUDA RVR,S-150,REC,FC,03050109210,SALUDA,3
SALUDA RVR JUST BELOW LK MURRAY DAM,S-152,AL,DO,03050109210,SALUDA,2
MILL CK TRIB ON DURHAM ST,S-161,AL,CR,03050109040,SALUDA,3
MILL CK TRIB ON DURHAM ST ,S-161,AL,DO,03050109040,SALUDA,2
GROVE CK AT UN# RD BELOW J P STEVENS ESTES PLANT,S-171,REC,FC,03050109040,SALUDA,3
HUFF CK AT SC 418 1.6 MI NW FORK SHOALS,S-178,REC,FC,03050109110,SALUDA,3
WILSON CK AT S-24-124,S-235,REC,FC,03050109140,SALUDA,2
SALUDA RVR AT FARRS BRDG ON SC 183 7 MI NE EASLEY,S-250,REC,FC,03050109040,SALUDA,2
MIDDLE SALUDA RVR AT SC 288 2.3 MI WSW SLATER,S-252,REC,FC,03050109020,SALUDA,2
KINLEY CK AT S-32-36 (ST. ANDREWS RD) IN IRMO,S-260,REC,FC,03050109210,SALUDA,3
LANGSTON CK AT SC 253,S-264,AL,CR,03050109100,SALUDA,2
LANGSTON CK AT SC 253,S-264,REC,FC,03050109100,SALUDA,3
SALUDA RVR TRIB ON S-23-53,S-267,REC,FC,03050109040,SALUDA,2
LK MURRAY @ MARKER 63,S-279,AL,TP,03050109190,SALUDA,2
RAWLS CREEK AT S-32-107,S-287,REC,FC,03050109210,SALUDA,2
BROAD MOUTH CK AT S-04-267 ,S-289,REC,FC,03050109090,SALUDA,2
CAMPING CK S-36-202 ,S-290,REC,FC,03050109190,SALUDA,2
TWELVEMILE CREEK AT U.S. ROUTE 378,S-294,REC,FC,03050109210,SALUDA,3
"SALUDA RVR AT USGS GAGING STATION, 1/2 MI BELOW I-20",S-298,REC,FC,03050109210,SALUDA,3
GEORGES CK AT S-39-28,S-300,REC,FC,03050109050,SALUDA,3
HOLLOW CK AT S-32-54,S-306,REC,FC,03050109200,SALUDA,2
,S-308,AL,TP,,SALUDA,1
,S-308,AL,PH,,SALUDA,1
,S-309,AL,TP,,SALUDA,1
,S-309,AL,PH,,SALUDA,1
,S-311,AL,TP,,SALUDA,1
,S-311,AL,PH,,SALUDA,1
,S-315,REC,FC,,SALUDA,1
,S-315,AL,ZN,,SALUDA,1
"MILL CK AT BENT BRIDGE RD, BL CAROLINA PLATING",S-315,AL,CR,03050109040,SALUDA,3
"REEDY RVR AT RIVERS ST, DOWNTOWN GREENVILLE",S-319,REC,FC,03050109100,SALUDA,2
TRIB TO BROAD MOUTH CREEK AT S-04-205,S-776,AL,BIO,03050109090,SALUDA,2
REEDY RVR AT S-23-68,S-778,AL,BIO,03050109120,SALUDA,2
HALFWAY SWAMP CK AT SC 33,SC-007,REC,FC,03050111020,SANTEE,2
SPRING GROVE CK AT S-14-26,SC-009,REC,FC,03050111010,SANTEE,2
BIG POPLAR CK AT S-38-105,SC-011,AL,DO,03050111010,SANTEE,2
"LK MARION, MIDSTREAM OF TAWCAW EMBAYMENT",SC-017,AL,TP,03050111040,SANTEE,2
"LK MARION, MIDSTREAM OF WYBOO CK EMBAYMENT",SC-023,AL,TP,03050111050,SANTEE,2
LK MOULTRIE TRIB 10.4 MI UPSTREAM OF SC 6,SC-026,REC,FC,03050201010,SANTEE,2
,SC-034,REC,FC,,SANTEE,1
,SC-034,AL,PH,,SANTEE,1
,SC-034,AL,DO,,SANTEE,1
LK MOULTRIE TRIB AT CROSS GENERATION STATION,SC-043,REC,FC,03050201010,SANTEE,2
STREAM FROM NEW SED POND AT GSX,SC-056,AL,PH,03050111010,SANTEE,2
WALKER SW AT US 52 2.5 MI S ST STEPHENS,ST-007,REC,FC,03050201020,SANTEE,3
TAWCAW CK AT S-14-127 3.2 MI S OF SUMMERTON,ST-018,REC,FC,03050111040,SANTEE,2
LK MARION AT END OF S-14-64 AT CAMP BOB COOPER,ST-024,AL,ZN,03050111050,SANTEE,2
GOOSE CK RESERVOIR 100 M US OF DAM,ST-032,AL,DO,03050201070,SANTEE,2
GOOSE CK RESERVOIR AT 2ND POWERLINES US OF BOAT RAMP,ST-033,AL,DO,03050201070,SANTEE,2
CONEROSS CK AT SC 59,SV-004,REC,FC,03060101080,SAVANNAH,2
TWELVE MI CK AT S-39-51 N OF NORRIS,SV-015,REC,FC,03060101070,SAVANNAH,3
EIGHTEEN MI CK AT UNNUMBERED CO RD 2.25 MI SSW OF EASLEY,SV-017,REC,FC,03060101090,SAVANNAH,2
,SV-031,REC,FC,,SAVANNAH,1
,SV-031,AL,CU,,SAVANNAH,1
ROCKY RVR AT S-04-152 ,SV-041,REC,FC,03060103070,SAVANNAH,2
CHEROKEE CK AT S-04-318 4 MI S OF BELTON,SV-043,REC,FC,03060103070,SAVANNAH,2
SAWNEY CK AT CO RD 1.5 MI SE OF CALHOUN FALLS,SV-052,REC,FC,03060103140,SAVANNAH,3
BLUE HILL CK ON S MAIN ST ABBEVILLE,SV-053B,REC,FC,03060103150,SAVANNAH,2
DOUBLE BRANCH AT S-01-33,SV-054,AL,BIO,03060103150,SAVANNAH,2
SAND RVR AT OLD US 1 1.2 MI SE WARRENVILLE,SV-069,REC,FC,03060106050,SAVANNAH,2
HORSE CK AT S-02-145,SV-072,REC,FC,03060106050,SAVANNAH,2
,SV-096,REC,FC,,SAVANNAH,1
,SV-096,AL,CU,,SAVANNAH,1
BIG GENEROSTEE CK AT SC 187,SV-101,AL,BIO,03060103030,SAVANNAH,2
CHOESTOEA CREEK AT S-37-49,SV-108,REC,FC,03060102130,SAVANNAH,2
THREE & TWENTY CREEK AT S-04-280,SV-111,REC,FC,03060101100,SAVANNAH,3
SAVANNAH RVR AT US 301 12.5 MI SW ALLENDALE,SV-118,AL,ZN,03060106140,SAVANNAH,2
UNNAMED CK ON MAW BRDG RD,SV-136,REC,FC,03060101070,SAVANNAH,2
TWELVE MILE CK AT S-39-337,SV-137,REC,FC,03060101070,SAVANNAH,3
CUPBOARD CK AT S-04-733 AB BREAZEALE ST PLANT & BL BLAIR HIL,SV-139,REC,FC,03060103070,SAVANNAH,3
CUPBOARD CK AT S-04-209 BL EFF FROM BELTON 2 PLANT,SV-140,REC,FC,03060103070,SAVANNAH,3
,SV-141,AL,BIO,,SAVANNAH,1
,SV-141,REC,FC,,SAVANNAH,1
,SV-151,AL,CU,,SAVANNAH,1
HARD LABOR CREEK AT S-24-164 BRIDGE,SV-151,REC,FC,03060107010,SAVANNAH,3
,SV-151,AL,BIO,,SAVANNAH,1
LITTLE RIVER AT S-01-24,SV-164,REC,FC,03060103140,SAVANNAH,2
SIX & TWENTY CK AT S-04-29 8.2 MI SE OF PENDLETON,SV-181,REC,FC,03060101040,SAVANNAH,2
WILSON CREEK AT SC 413,SV-185,AL,BIO,03060103080,SAVANNAH,2
SAVANNAH RVR AT US 17 8.9 MI SSW OF HARDEEVILLE,SV-191,REC,FC,03060109060,SAVANNAH,3
SIX MILE CREEK AT S-39-160,SV-205,REC,FC,03060101040,SAVANNAH,2
N FORK 12 MI CK AT US 178 2.9 MI N OF PICKENS,SV-206,REC,FC,03060101060,SAVANNAH,2
BIG EASTATOE CREEK AT S-39-143,SV-230,AL,ZN,03060101030,SAVANNAH,2
GOLDEN CK AT S-37-222 1.2 MI NW OF LIBERTY,SV-239,REC,FC,03060101070,SAVANNAH,3
WOODSIDE BR AT US 123 1.5 MI E OF LIBERTY,SV-241,REC,FC,03060101090,SAVANNAH,2
SAVANNAH RVR AT SC 28 1.6 MI NNW OF BEACH ISLAND,SV-252,REC,FC,03060106060,SAVANNAH,2
"LK HARTWELL, SENECA R ARM AT BUOY B/W MKRS S-28A & S-29",SV-288,AL,CU,03060101040,SAVANNAH,2
NORRIS CK AT S-37-435 1 MI S OF WESTMINSTER,SV-301,REC,FC,03060102130,SAVANNAH,2
LK KEOWEE AT SC 188 - CANE CK ARM 3.5 MI NW SENECA,SV-311,AL,ZN,03060101050,SAVANNAH,2
BIG GENEROSTEE CK AT CO RD 104,SV-316,REC,FC,03060103030,SAVANNAH,3
CONEROSS CK AT S-37-54 (LAKE HARTWELL),SV-322,REC,FC,03060101080,SAVANNAH,2
TIMS BR AT SRP ROAD C,SV-324,REC,FC,03060106100,SAVANNAH,2
UPPER THREE RUNS CK AT SRP ROAD A,SV-325,REC,FC,03060106100,SAVANNAH,2
LOWER THREE RUNS CK AT S-06-20 7.5 MI SW BARNWELL,SV-328,AL,CU,03060106130,SAVANNAH,2
HORSE CK AT ASCAUGA LAKE RD (S-02-33) IN GRANITEVILLE,SV-329,AL,CU,03060106050,SAVANNAH,2
"LK SECESSION, 1 1/4 MI BELOW SC ROUTE 28",SV-331,AL,TP,03060103070,SAVANNAH,2
CONEROSS CK AT S-37-13,SV-333,REC,FC,03060101080,SAVANNAH,2
,SV-335,AL,ZN,,SAVANNAH,1
,SV-335,AL,CU,,SAVANNAH,1
LK JOCASSEE AT CON OF THOMPSON AND WHITEWATER RVRS,SV-336,AL,CU,03060101020,SAVANNAH,2
LK KEOWEE ABOVE SC ROUTE 130 AND DAM,SV-338,AL,CU,03060101030,SAVANNAH,2
"LK HARTWELL, SENECA R ARM AT BUOY B/W S-14 AND S-15",SV-339,AL,CU,03060101040,SAVANNAH,2
"LK HARTWELL, MAIN BODY AT BUOY BTWN MRKRS 11 & 12",SV-340,AL,CU,03060103020,SAVANNAH,2
LITTLE EASTATOE CREEK AT S-39-49,SV-341,REC,FC,03060101030,SAVANNAH,2
CANE CREEK AT S-37-133,SV-342,REC,FC,03060101050,SAVANNAH,2
LITTLE CANE CREEK AT S-37-133,SV-343,REC,FC,03060101050,SAVANNAH,2
,SV-345,AL,BIO,,SAVANNAH,1
,SV-345,REC,FC,,SAVANNAH,1
LONG CANE CREEK AT S-01-159,SV-349,REC,FC,03060103150,SAVANNAH,2
CUFFYTOWN CREEK AT S-33-138,SV-351,REC,FC,03060107010,SAVANNAH,2
BEAVERDAM CREEK AT FOREST SERVICE ROAD 621 OFF S-19-68,SV-353,REC,FC,03060107030,SAVANNAH,2
CYPRESS CREEK AT S-27-119,SV-356,AL,DO,03060109050,SAVANNAH,2
ROCKY RIVER AT SC 413,SV-650,AL,BIO,03060103070,SAVANNAH,2
ROCKY CREEK AT S-33-87,SV-730,AL,BIO,03060107010,SAVANNAH,2
JOHNS CREEK AT S-01-159,SV-734,AL,BIO,03060103150,SAVANNAH,2
THREE & TWENTY CREEK AT S-04-29,SV-735,AL,BIO,03060101100,SAVANNAH,2
GOLDEN CK AT GOLDEN CK RD,SV-738,AL,BIO,03060101070,SAVANNAH,2